İlan Tarihi,İlan no,Net m²,Brüt m²,Oda Sayısı,Banyo Sayısı,Binadaki Kat Sayısı,Isıtma Tipi,Konut Şekli,Bulunduğu Kat,Bina Yaşı,Kullanım Durumu,Yapının Durumu,Kira Getirisi,Kimden,Krediye Uygun,Location,Price,"Görüntülü Ev Gezintisi
?",Hayvan Dostu Patili Evler,Mobilya Durumu,Takasa Uygun,Aidat,Tapu Durumu,Ada,Parsel,Yapı Tipi
30 Eylül 2024,5145472,115,128m²,3+1,1,3,Kombi (Doğalgaz),Ara Kat,2,26-30 arası,Mülk Sahibi,İkinci El,10.000 TL (aylık),Danışman,Evet,"Yeni, Akşehir
, Konya",1.860.000 TL,,,,,,,,,
21 Eylül 2024,5115610,130,141m²,2+1,1,5,Kombi (Doğalgaz),,3,21-25 arası,Kiracılı,,9.000 TL (aylık),,Hayır,"İstasyon, Akşehir
, Konya",1.675.000 TL,?,Evet,Eşyasız,,,,,,
26 Eylül 2024,5142613,155,180m²,4+1,2,5,,Ara Kat,2,0,Boş,Sıfır,18.000 TL (aylık),Danışman,Evet,"Gazi, Akşehir
, Konya",3.500.000 TL,,,Eşyasız,Evet,0 TL (aylık),,,,
20 Eylül 2024,5055209,130,145m²,2+1,1,,Kalorifer (Doğalgaz),Bahçe Dubleksi,1,,,,,,Hayır,"Kileci, Akşehir
, Konya",1.625.000.000 TL,,,,,,,,,
18 Eylül 2024,5137354,145,165m²,3+1,1,5,Kombi (Doğalgaz),Ara Kat,4,6-10 arası,Boş,İkinci El,17.000 TL (aylık),Danışman,Evet,"Yeni, Akşehir
, Konya",3.550.000 TL,,,Eşyasız,,0 TL (aylık),,,,
19 Eylül 2024,5138565,160,170m²,3+1,1,5,Kombi (Doğalgaz),Ara Kat,,11-15 arası,Boş,İkinci El,10.000 TL (aylık),,Evet,"Altunkalem, Akşehir
, Konya",2.350.000 TL,,,Eşyasız,Evet,,Kat Mülkiyeti,,,
20 Eylül 2024,5041922,180,190m²,3+1,2,,,,,,,,,,Hayır,"Yarenler, Akşehir
, Konya",4.750.000 TL,,,,,,,,,
9 Eylül 2024,5093634,130,138m²,3+1,1,6,Kombi (Doğalgaz),En Üst Kat,6,21-25 arası,Boş,İkinci El,12.000 TL (aylık),Danışman,Evet,"Seyran, Akşehir
, Konya",2.150.000 TL,,,,,,,,,
9 Eylül 2024,5128839,120,130m²,3+1,1,4,Kombi (Doğalgaz),En Üst Kat,4,31-35 arası,Mülk Sahibi,İkinci El,8.000 TL (aylık),Danışman,Evet,"Gazi, Akşehir
, Konya",1.620.000 TL,,,,,,,,,
7 Eylül 2024,5128652,42,60m²,2+0,1,4,Kombi (Doğalgaz),Giriş Kat,Yüksek Giriş,0,Boş,Yapım Aşamasında,10.000 TL (aylık),Danışman,Evet,"Gazi, Akşehir
, Konya",1.850.000 TL,,,,Evet,,,,,
7 Eylül 2024,5128674,145,170m²,3+1,3,5,Kombi (Doğalgaz),Ara Kat,,0,Boş,Sıfır,18.000 TL (aylık),Danışman,Evet,"Yarenler, Akşehir
, Konya",4.650.000 TL,,,,,,,,,
31 Ağustos 2024,4937360,145,165m²,3+1,2,4,Kombi (Doğalgaz),Ara Kat,2,0,Boş,Yapım Aşamasında,0 TL (aylık),Danışman,Evet,"İstasyon, Akşehir
, Konya",3.350.000 TL,?,,Eşyasız,,0 TL (aylık),,,,
25 Ağustos 2024,5087122,149,170m²,3+1,1,5,Kombi (Doğalgaz),Ara Kat,2,4,Boş,İkinci El,15.000 TL (aylık),Danışman,Evet,"Yeni, Akşehir
, Konya",3.200.000 TL,,,,,,,,,
28 Eylül 2024,5144135,120,140m²,3+1,1,4,Kombi (Doğalgaz),,2,21-25 arası,,,,,Evet,"Mehmet Akif, Ereğli
, Konya",1.500.000 TL,,,,,,,,,
27 Eylül 2024,5143010,145,160m²,3+1,1,5,Kombi (Doğalgaz),,Ara Kat,,,,,,Evet,"Doğu Elagözlü, Ereğli
, Konya",4.000.000 TL,,,,,,,,,
26 Eylül 2024,5142410,165,200m²,4+1,2,10,Merkezi Sistem,,1,26-30 arası,Boş,,,,Evet,"Feritpaşa, Selçuklu
, Konya",3.499.999 TL,,,,,1 TL (aylık),,,,
26 Eylül 2024,5142409,150,210m²,4+1,2,9,Yerden Isıtma,,7,,Boş,,,,Evet,"Hocacihan, Selçuklu
, Konya",6.750.000 TL,,,,Evet,,,,,
26 Eylül 2024,5142407,200,260m²,5+1,2,2,Yerden Isıtma,Dubleks,,,Boş,,,,Evet,"Karahüyük, Meram
, Konya",8.000.000 TL,,,,,,,,,
26 Eylül 2024,5142404,95,125m²,2+1,1,9,Yerden Isıtma,,3,,Boş,,,,Hayır,"Sancak, Selçuklu
, Konya",2.500.000 TL,,,,Evet,,,,,
26 Eylül 2024,5142401,120,165m²,3+1,1,5,Kombi (Doğalgaz),,2,16-20 arası,Boş,,,,Hayır,"Mehmet Akif, Selçuklu
, Konya",2.750.000 TL,,,,,,,,,
26 Eylül 2024,5142399,115,160m²,3+1,1,4,Yerden Isıtma,,3,,Boş,,,,Evet,"Hacı Hasan, Karatay
, Konya",3.050.000 TL,,,,,,,,,
26 Eylül 2024,5142398,110,170m²,3+1,1,5,Yerden Isıtma,,5,,Boş,,,,Evet,"Akşemsettin, Selçuklu
, Konya",3.750.000 TL,,,,,,,,,
26 Eylül 2024,5142397,110,160m²,3+1,1,3,Yerden Isıtma,,2,,Boş,,,,Evet,"Parsana, Selçuklu
, Konya",3.800.000 TL,,,,Evet,,,,,
26 Eylül 2024,5142396,140,180m²,3+1,1,4,Merkezi Sistem,,1,11-15 arası,Mülk Sahibi,,,,Evet,"Esenler, Selçuklu
, Konya",3.990.000 TL,,,,,,,,,
26 Eylül 2024,5142394,165,215m²,4+1,2,5,Yerden Isıtma,,2,5,Boş,,,,Evet,"Alavardı, Meram
, Konya",6.900.000 TL,,,,,,,,,
26 Eylül 2024,5142395,115,155m²,3+1,2,3,Yerden Isıtma,,3,,Boş,,,,Hayır,"Yazır, Selçuklu
, Konya",4.950.000 TL,,,,Evet,,,,,
26 Eylül 2024,5142392,170,210m²,4+1,2,10-20 arası,Yerden Isıtma,,5,11-15 arası,Mülk Sahibi,,,,Evet,"Parsana, Selçuklu
, Konya",8.500.000 TL,,,,Evet,,,,,
26 Eylül 2024,5142390,167,190m²,5+1,3,2,Yerden Isıtma,,Bahçe katı,,Boş,,,,Evet,"Karahüyük, Meram
, Konya",9.500.000 TL,,,,Evet,,,,,
26 Eylül 2024,5142389,215,304m²,4+1,3,2,Yerden Isıtma,,1,2,Mülk Sahibi,,,,Evet,"Buhara, Selçuklu
, Konya",13.000.000 TL,,,,,,,,,
26 Eylül 2024,5142388,180,210m²,4+1,1,2,Yerden Isıtma,,Bahçe katı,3,Mülk Sahibi,,,,Evet,"Erenköy, Selçuklu
, Konya",13.750.000 TL,,,,Evet,,,,,
26 Eylül 2024,5142387,265,360m²,7+2,3,2,Yerden Isıtma,,Bahçe katı,,Boş,,,,Evet,"Sille Ak, Selçuklu
, Konya",15.000.000 TL,,,,,,,,,
26 Eylül 2024,5142385,600,660m²,8+1,2,3,Yerden Isıtma,,Bahçe katı,,Boş,,,,Evet,"Parsana, Selçuklu
, Konya",36.000.000 TL,,,,Evet,,,,,
26 Eylül 2024,5142381,180,210m²,4+1,1,10-20 arası,Yerden Isıtma,,8,5,Mülk Sahibi,,,,Evet,"Parsana, Selçuklu
, Konya",6.100.000 TL,,,,,,,,,
26 Eylül 2024,5142382,450,550m²,6+1,5,3,Yerden Isıtma,,Bahçe katı,,Boş,,,,Evet,"Sille Ak, Selçuklu
, Konya",25.000.000 TL,,,,Evet,,,,,
26 Eylül 2024,5142406,92,115m²,2+1,1,3,Yerden Isıtma,,Giriş Katı,5,Kiracılı,,,,Evet,"Beyhekim, Selçuklu
, Konya",2.500.000 TL,,,,Evet,,,,,
26 Eylül 2024,5142408,100,115m²,2+1,1,3,Kombi (Doğalgaz),,Yüksek Giriş,21-25 arası,Kiracılı,,,,Hayır,"Cumhuriyet, Selçuklu
, Konya",1.550.000 TL,,,,,,,,,
26 Eylül 2024,5142391,180,210m²,4+1,2,2,Yerden Isıtma,,Bahçe katı,,Boş,,,,Hayır,"Lalebahçe, Meram
, Konya",9.500.000 TL,,,,Evet,,,,,
25 Eylül 2024,5141788,170,180m²,4+1,2,2,Yerden Isıtma,,Bahçe katı,,Boş,,,,Hayır,"İstiklal, Karatay
, Konya",6.400.000 TL,,,,Evet,,,,,
24 Eylül 2024,5083323,145,165m²,4+1,2,6,Yerden Isıtma,,Ara Kat,,Boş,Sıfır,,,Hayır,"Kumköprü, Karatay
, Konya",3.600.000 TL,,,,,,,,,
23 Eylül 2024,5086286,105,120m²,2+1,1,5,Kombi (Doğalgaz),En Üst Kat,5,26-30 arası,Boş,İkinci El,,Danışman,Hayır,"İstasyon, Akşehir
, Konya",1.296.000 TL,?,,Eşyasız,,,Kat İrtifakı,,,
24 Eylül 2024,5118810,70,85m²,2+0,1,5,Kombi (Doğalgaz),,Yüksek Giriş,,,,,,Evet,"Ziya Gökalp, Ereğli
, Konya",1.400.000 TL,,,,,,,,,
23 Eylül 2024,5075401,105,120m²,2+1,1,5,Kombi (Doğalgaz),Ara Kat,2,3,Mülk Sahibi,İkinci El,,,Hayır,"Seyran, Akşehir
, Konya",2.600.000 TL,?,Evet,Eşyalı (Mobilyalı),Evet,,,,,
22 Eylül 2024,5086138,145,170m²,3+1,1,5,Kombi (Doğalgaz),Ara Kat,3,11-15 arası,Mülk Sahibi,İkinci El,,Danışman,Evet,"Yeni, Akşehir
, Konya",3.100.000 TL,?,,Eşyasız,,,Kat İrtifakı,,,
22 Eylül 2024,5086114,90,110m²,2+1,1,,Soba (Kömür),,Müstakil,0,Mülk Sahibi,Sıfır,,Danışman,Evet,"Gölçayır, Akşehir
, Konya",3.250.000 TL,,,Eşyasız,,,Müstakil Parsel,,,
23 Eylül 2024,5086372,110,125m²,2+1,1,2,Kalorifer (Doğalgaz),,2,0,Boş,Sıfır,11.000 TL (aylık),,Hayır,"Yarenler, Akşehir
, Konya",3.250.000 TL,,,,,500 TL (aylık),,,,
23 Eylül 2024,5086368,148,155m²,3+1,2,2,Kalorifer (Doğalgaz),,2,0,Boş,,17.000 TL (aylık),,Hayır,"Yarenler, Akşehir
, Konya",4.000.000 TL,,,,,500 TL (aylık),,,,
22 Eylül 2024,5117419,150,165m²,3+1,1,8,Merkezi Sistem (Isı Payı Ölçer),,2,,,,,,Evet,"Şinasi, Ereğli
, Konya",2.600.000 TL,,,,,,,,,
22 Eylül 2024,5117429,165,180m²,3+1,1,6,Kombi (Doğalgaz),,2,5,,,,,Evet,"Eti, Ereğli
, Konya",4.100.000 TL,,,,,,,,,
22 Eylül 2024,5117424,255,270m²,4+1,2,6,Kombi (Doğalgaz),,6,6-10 arası,,,,,Evet,"Çömlekçi, Ereğli
, Konya",3.800.000 TL,,,,,270 TL (aylık),,,,
22 Eylül 2024,5117415,145,160m²,3+1,1,4,Kombi (Doğalgaz),,Yüksek Giriş,6-10 arası,,,,,Evet,"Mehmet Akif, Ereğli
, Konya",2.430.000 TL,,,,,250 TL (aylık),,,,
22 Eylül 2024,5117422,145,160m²,3+1,2,5,Merkezi Sistem,,Ara Kat,21-25 arası,,,,,Evet,"Dalmaz, Ereğli
, Konya",2.400.000 TL,,,,,,,,,
22 Eylül 2024,5117431,155,165m²,3+1,1,6,Kombi (Doğalgaz),,4,21-25 arası,,,,,Evet,"Alpaslan, Ereğli
, Konya",2.300.000 TL,,,,,,,,,
22 Eylül 2024,5117417,150,170m²,3+1,1,5,Merkezi Sistem,,5,,,,,,Evet,"Ziya Gökalp, Ereğli
, Konya",3.150.000 TL,,,,,,,,,
22 Eylül 2024,5116545,126,136m²,3+1,1,2,Kombi (Doğalgaz),,1,11-15 arası,Kiracılı,İkinci El,,,Evet,"Selahaddin Eyyubi, Selçuklu
, Konya",4.500.000 TL,,,,,,,14580,22,
22 Eylül 2024,5117427,135,150m²,3+1,1,6,Kombi (Doğalgaz),,Yüksek Giriş,21-25 arası,,,,,Evet,"Üçgöz, Ereğli
, Konya",1.750.000 TL,,,,,200 TL (aylık),,,,
21 Eylül 2024,5073195,110,125m²,2+1,1,4,Kombi (Doğalgaz),Ara Kat,2,0,Boş,Sıfır,12.000 TL (aylık),Danışman,Evet,"Yeni, Akşehir
, Konya",2.700.000 TL,,,,,,,,,
22 Eylül 2024,5117421,120,135m²,2+1,1,3,Kombi (Doğalgaz),,2,21-25 arası,,,,,Evet,"Hacı Mustafa, Ereğli
, Konya",1.425.000 TL,,,,,,,,,
22 Eylül 2024,5117413,110,125m²,2+1,1,2,Kombi (Doğalgaz),,2,26-30 arası,,,,,Evet,"Barbaros, Ereğli
, Konya",1.590.000 TL,,,,,,,,,
21 Eylül 2024,5072754,145,160m²,3+1,2,5,Kombi (Doğalgaz),Ara Kat,2,0,Boş,Sıfır,15.000 TL (aylık),Danışman,Evet,"Yeni, Akşehir
, Konya",4.200.000 TL,,,Eşyasız,,0 TL (aylık),,,,
21 Eylül 2024,5072015,135,145m²,3+1,1,5,Kombi (Doğalgaz),Ara Kat,2,26-30 arası,Mülk Sahibi,İkinci El,10.000 TL (aylık),Danışman,Evet,"Kızılca, Akşehir
, Konya",2.600.000 TL,,,,Evet,,,,,
22 Eylül 2024,5117425,130,145m²,3+1,1,3,Kombi (Doğalgaz),,Yüksek Giriş,21-25 arası,,,,,Evet,"Batı Elagözlü, Ereğli
, Konya",1.700.000 TL,,,,,,,,,
21 Eylül 2024,5032418,150,180m²,3+2,1,2,Soba (Kömür),Bahçe Dubleksi,Müstakil,0,Boş,Sıfır,0 TL (aylık),Danışman,Evet,"Saray, Akşehir
, Konya",3.690.000 TL,?,,Eşyasız,Evet,0 TL (aylık),Müstakil Parsel,,,
22 Eylül 2024,5117428,70,80m²,2+0,1,6,Kombi (Doğalgaz),,2,,,,,,Evet,"Ziya Gökalp, Ereğli
, Konya",1.600.000 TL,,,,,,,,,
21 Eylül 2024,5098159,100,115m²,2+1,1,4,Kombi (Doğalgaz),Giriş Kat,Giriş Katı,31-35 arası,Mülk Sahibi,İkinci El,9.000 TL (aylık),Danışman,Evet,"Yarenler, Akşehir
, Konya",1.590.000 TL,,,,,,,,,
21 Eylül 2024,5097590,95,110m²,2+1,1,5,Kombi (Doğalgaz),Ara Kat,4,40 ve üzeri,Boş,İkinci El,8.000 TL (aylık),Danışman,Evet,"Altunkalem, Akşehir
, Konya",1.650.000 TL,,,,,,,,,
21 Eylül 2024,5055639,130,195m²,2+1,1,2,,Dubleks,Müstakil,40 ve üzeri,Mülk Sahibi,İkinci El,,Danışman,Hayır,"Selçuk, Akşehir
, Konya",990.000 TL,,,,,,,,,
21 Eylül 2024,5024135,43,60m²,1+1,1,5,Kombi (Doğalgaz),Ara Kat,2,0,Boş,Yapım Aşamasında,8.000 TL (aylık),Danışman,Evet,"Yarenler, Akşehir
, Konya",1.800.000 TL,,,,,,Kat İrtifakı,,,
21 Eylül 2024,5139618,115,135m²,2+1,1,1,Kombi (Doğalgaz),Giriş Kat,Kot 1,6-10 arası,Boş,Sıfır,150.000 TL (aylık),Danışman,Hayır,"Yeni, Akşehir
, Konya",2.500.000 TL,,,Eşyasız,Evet,,Kat Mülkiyeti,,,
21 Eylül 2024,5057269,110,125m²,2+1,1,5,Kombi (Doğalgaz),Ara Kat,3,0,Boş,Yapım Aşamasında,0 TL (aylık),Danışman,Hayır,"Seyran, Akşehir
, Konya",2.600.000 TL,,,Eşyasız,,0 TL (aylık),,,,
21 Eylül 2024,4874987,170,190m²,,,,,,,,,,,Danışman,Evet,"Gazi, Akşehir
, Konya",1.590.000 TL,,,,,,İskanı Alınmış,,,
20 Eylül 2024,5064915,135,165m²,4+1,2,5,Yerden Isıtma,,4,,Boş,,,,Hayır,"Erenler, Karatay
, Konya",3.100.000 TL,,,Eşyasız,Evet,,,,,
20 Eylül 2024,5139073,40,60m²,1+1,1,2,Kombi (Doğalgaz),,2,,,,,,Evet,"Toros, Ereğli
, Konya",980.000 TL,,,,,,,,,
21 Eylül 2024,5001863,80,100m²,,,,,,,,,,,,Hayır,"Adsız, Akşehir
, Konya",3.000.000 TL,,,,Evet,,,,,
19 Eylül 2024,5113831,100,115m²,2+1,1,5,Kombi (Doğalgaz),,4,26-30 arası,,,,,Evet,"Alpaslan, Ereğli
, Konya",1.400.000 TL,,,,,,,,,
20 Eylül 2024,4787467,165,168m²,3+1,1,4,Merkezi Sistem (Isı Payı Ölçer),Ara Kat,3,0,Boş,Sıfır,8.000 TL (aylık),Danışman,Evet,"Gazi, Akşehir
, Konya",3.500.000 TL,?,,Eşyasız,,,,,,
20 Eylül 2024,5057010,95,128m²,2+1,1,4,,En Üst Kat,4,6-10 arası,Mülk Sahibi,,0 TL (aylık),,Hayır,"İstasyon, Akşehir
, Konya",2.275.000 TL,,,Eşyasız,Evet,0 TL (aylık),,,,
20 Eylül 2024,4915927,275,300m²,6+1,3,3,Yok,Tripleks,,0,Boş,,0 TL (aylık),,Evet,"Değirmenköy, Akşehir
, Konya",4.000.000 TL,,,Eşyasız,Evet,0 TL (aylık),,,,
20 Eylül 2024,5057027,319,355m²,9+1,3,3,Klima,Tripleks,,21-25 arası,Mülk Sahibi,,0 TL (aylık),,Hayır,"Yeni, Akşehir
, Konya",12.500.000 TL,,,Eşyasız,Evet,0 TL (aylık),,,,
20 Eylül 2024,5014874,130,150m²,3+1,1,4,,Ara Kat,2,0,Boş,,0 TL (aylık),,Evet,"İstasyon, Akşehir
, Konya",3.399.999 TL,,,Eşyasız,Evet,0 TL (aylık),,,,
20 Eylül 2024,5057012,96,190m²,2+1,1,4,,En Üst Kat,Çatı Katı,26-30 arası,Mülk Sahibi,,0 TL (aylık),,Hayır,"Kileci, Akşehir
, Konya",1.550.000 TL,,,Eşyasız,,0 TL (aylık),,,,
20 Eylül 2024,4983057,105,125m²,3+1,1,5,Kalorifer (Doğalgaz),Ara Kat,4,0,Boş,,13.000 TL (aylık),,Evet,"Hacı Hasan, Karatay
, Konya",2.850.000 TL,?,,Eşyasız,Evet,400 TL (aylık),Kat Mülkiyeti,,,
20 Eylül 2024,4869151,90,115m²,2+1,1,4,,,Giriş Katı,21-25 arası,Kiracılı,,0 TL (aylık),,Evet,"Yeni, Akşehir
, Konya",1.635.000 TL,,,Eşyasız,,0 TL (aylık),,,,
20 Eylül 2024,5057008,145,162m²,3+1,1,5,,,Giriş Katı,21-25 arası,Mülk Sahibi,,0 TL (aylık),,Hayır,"Yarenler, Akşehir
, Konya",1.799.999 TL,,,Eşyasız,Evet,0 TL (aylık),,,,
19 Eylül 2024,5113840,119,120m²,2+1,1,5,Kombi (Doğalgaz),Bahçe Katı,Yüksek Giriş,26-30 arası,Boş,İkinci El,8.000 TL (aylık),,Hayır,"Yarenler, Akşehir
, Konya",1.625.000 TL,?,Evet,Eşyasız,,,Kat Mülkiyeti,,,
20 Eylül 2024,5023324,135,160m²,3+1,1,4,Kombi (Doğalgaz),,4,0,Boş,Yapım Aşamasında,15.000 TL (aylık),Danışman,Evet,"Yeni, Akşehir
, Konya",3.400.000 TL,,,,,,,,,
20 Eylül 2024,5041954,150,165m²,3+1,1,5,Kombi (Doğalgaz),En Üst Kat,5,26-30 arası,Boş,,,İnşaat Geliştirici,Hayır,"Seyran, Akşehir
, Konya",1.690.000 TL,,Evet,Eşyasız,Evet,,,,,
18 Eylül 2024,5083303,230,270m²,5+1,2,10-20 arası,Yerden Isıtma,,2,3,Mülk Sahibi,,,,Hayır,"Selçuk, Selçuklu
, Konya",8.500.000 TL,,,,Evet,,,,,
18 Eylül 2024,5083319,160,190m²,4+1,2,5,Merkezi Sistem (Isı Payı Ölçer),,2,5,Mülk Sahibi,,,,Evet,"Kosova, Selçuklu
, Konya",4.400.000 TL,,,,,,,,,
20 Eylül 2024,5064909,130,150m²,3+1,1,4,Kombi (Doğalgaz),,En Üst Kat,31-35 arası,,,10.000 TL (aylık),,Hayır,"Selçuk, Selçuklu
, Konya",2.000.000 TL,,,Eşyasız,,,,,,
18 Eylül 2024,5137138,145,170m²,3+1,1,2,Kombi (Doğalgaz),,2,16-20 arası,Mülk Sahibi,,,,Hayır,"Saraçoğlu, Karatay
, Konya",2.350.000 TL,,,,Evet,,,,,
18 Eylül 2024,5137132,135,155m²,3+1,1,8,Merkezi Sistem (Isı Payı Ölçer),,6,5,Kiracılı,,,,Hayır,"Gödene, Meram
, Konya",2.500.000 TL,,,,,,,,,
18 Eylül 2024,5137131,135,150m²,3+1,2,2,Kombi (Doğalgaz),,Bahçe katı,11-15 arası,Boş,,,,Hayır,"Erler, Karatay
, Konya",4.350.000 TL,,,,Evet,,,,,
20 Eylül 2024,5097236,100,110m²,2+1,1,5,Kombi (Doğalgaz),Ara Kat,2,,Boş,,10.000 TL (aylık),,Hayır,"Yeni, Akşehir
, Konya",2.500.000 TL,?,Evet,,,,,,,
18 Eylül 2024,5137646,160,170m²,3+1,1,5,Kalorifer (Doğalgaz),En Üst Kat,5,6-10 arası,,İkinci El,18.000 TL (aylık),Danışman,Evet,"Yeni, Akşehir
, Konya",3.150.000 TL,,,Eşyasız,Evet,,,,,
20 Eylül 2024,5097781,127,160m²,3+1,1,,,,,,,,,,Hayır,"Anıt, Akşehir
, Konya",1.350.000 TL,,,,,,,,,
18 Eylül 2024,5083321,165,230m²,4+1,2,5,Yerden Isıtma,,2,,Boş,,,,Hayır,"Çimenlik, Karatay
, Konya",3.400.000 TL,,,,Evet,,,,,
20 Eylül 2024,4826899,110,130m²,2+2,1,,,,,,,,,,Hayır,"Kileci, Akşehir
, Konya",3.200.000 TL,,,,,,,,,
20 Eylül 2024,5072471,80,100m²,2+1,1,5,Kalorifer (Doğalgaz),Ara Kat,3,0,,,13.000 TL (aylık),Danışman,Hayır,"Gazi, Akşehir
, Konya",2.750.000 TL,,,,,,,,,
