İlan Tarihi,İlan no,Net m²,Brüt m²,Oda Sayısı,Banyo Sayısı,Binadaki Kat Sayısı,Isıtma Tipi,Konut Şekli,Bulunduğu Kat,Bina Yaşı,Kullanım Durumu,Yapının Durumu,Kira Getirisi,Kimden,Krediye Uygun,Location,Price,"Görüntülü Ev Gezintisi
17 Eylül 2024,5135981,129,155m²,4+1,2,6,Yerden Isıtma,Tek Kat,2,,,,,,Evet,"Doğuş, Karatay
, Konya",3.900.000 TL,,,,Evet,,,,,
17 Eylül 2024,5112347,126,136m²,3+1,1,2,Kombi (Doğalgaz),,1,11-15 arası,Kiracılı,İkinci El,,,Evet,"Selahaddin Eyyubi, Selçuklu
, Konya",4.500.000 TL,,,,,,,14580,22,
17 Eylül 2024,5136872,120,130m²,3+1,1,4,Kombi (Doğalgaz),En Üst Kat,4,31-35 arası,Kiracılı,İkinci El,,Danışman,Evet,"Altunkalem, Akşehir
, Konya",1.700.000 TL,,,,,,,,,
16 Eylül 2024,5096078,45,65m²,1+1,1,4,Kombi (Doğalgaz),Ara Kat,2,0,Boş,Yapım Aşamasında,,Danışman,Evet,"İstasyon, Akşehir
, Konya",1.750.000 TL,,,,Evet,,,,,
16 Eylül 2024,5112182,130,140m²,3+1,1,4,Kombi (Doğalgaz),Ara Kat,3,21-25 arası,Mülk Sahibi,İkinci El,10.000 TL (aylık),Danışman,Evet,"Seyran, Akşehir
, Konya",1.800.000 TL,,,,,,,,,
16 Eylül 2024,5070107,135,165m²,3+1,2,,,,,,,,,,Hayır,"Gazi, Akşehir
, Konya",3.100.000 TL,,,,,,,,,
16 Eylül 2024,5096270,105,120m²,2+1,3,1,Soba (Kömür),Tek Kat,Müstakil,21-25 arası,Mülk Sahibi,İkinci El,,Danışman,Hayır,"Adsız, Akşehir
, Konya",1.250.000 TL,?,,Eşyasız,,,İskanı Alınmış,,,
18 Eylül 2024,5137299,100,115m²,2+1,1,5,Kombi (Doğalgaz),,4,,,,,,Evet,"Ziya Gökalp, Ereğli
, Konya",2.250.000 TL,,,,,,,,,
16 Eylül 2024,5070146,125,130m²,3+1,1,5,Kombi (Doğalgaz),Ara Kat,3,,Boş,,10.000 TL (aylık),Danışman,Evet,"İstasyon, Akşehir
, Konya",1.850.000 TL,,,,,,,,,
16 Eylül 2024,5046966,460,500m²,6+1,4,,,,,,,,,,Hayır,"Gazi, Akşehir
, Konya",7.500.000 TL,,,,,,,,,
16 Eylül 2024,5070232,155,170m²,6+3,3,3,Soba (Kömür),,,26-30 arası,,,,,Hayır,"Yıldırım, Akşehir
, Konya",3.190.000 TL,,,Eşyasız,,,,,,
16 Eylül 2024,4979642,125,135m²,3+1,1,4,Kombi (Doğalgaz),Ara Kat,2,21-25 arası,Mülk Sahibi,İkinci El,7.000 TL (aylık),Danışman,Evet,"Yeni, Akşehir
, Konya",1.880.000 TL,,,,,,,,,
16 Eylül 2024,5096026,90,105m²,2+1,1,4,Kombi (Doğalgaz),Ara Kat,2,0,Boş,Yapım Aşamasında,,Danışman,Evet,"İstasyon, Akşehir
, Konya",2.450.000 TL,,,,Evet,,,,,
16 Eylül 2024,4804850,110,223m²,2+1,2,1,,Bahçe Katı,,36-40 arası,Kiracılı,İkinci El,2.000 TL (aylık),Danışman,Hayır,"Yeni, Akşehir
, Konya",840.000 TL,?,Evet,,Evet,,,,,
16 Eylül 2024,5096524,90,100m²,2+1,1,1,,Tek Kat,,,Boş,Sıfır,,Danışman,Evet,"Gazi, Akşehir
, Konya",2.280.000 TL,,,,Evet,,,,,
16 Eylül 2024,5084680,90,115m²,2+1,1,1,Soba (Kömür),Giriş Kat,,16-20 arası,Kiracılı,,,,Hayır,"Erler, Karatay
, Konya",2.500.000 TL,,,,,,,,,
14 Eylül 2024,5133193,40,58m²,1+1,1,5,Kombi (Doğalgaz),En Üst Kat,5,0,Boş,Sıfır,10.000 TL (aylık),Danışman,Evet,"Gazi, Akşehir
, Konya",1.750.000 TL,,,,,250 TL (aylık),,,,
14 Eylül 2024,5095664,135,145m²,3+1,1,,,,,,,,,,Hayır,"Yarenler, Akşehir
, Konya",3.300.000 TL,,,,,,,,,
13 Eylül 2024,4907530,42,45m²,1+1,1,5,Kombi (Doğalgaz),En Üst Kat,5,0,Boş,Sıfır,10.000 TL (aylık),Danışman,Evet,"Yeni, Akşehir
, Konya",1.980.000 TL,,,,,,,,,
13 Eylül 2024,4482812,145,170m²,3+1,2,5,Kombi (Doğalgaz),Ara Kat,3,11-15 arası,,İkinci El,3.500 TL (aylık),Danışman,Evet,"Yarenler, Akşehir
, Konya",3.300.000 TL,,,,,,,,,
14 Eylül 2024,5110178,115,130m²,3+1,2,2,Kombi (Doğalgaz),,1,,Boş,Sıfır,,,Evet,"Selahaddin Eyyubi, Selçuklu
, Konya",3.900.000 TL,,,,,,,1590,36,
13 Eylül 2024,4952525,120,160m²,3+1,1,5,,Ara Kat,1,31-35 arası,Kiracılı,,0 TL (aylık),,Evet,"Sahibiata, Meram
, Konya",1.750.000 TL,?,,Eşyasız,,0 TL (aylık),,,,
13 Eylül 2024,4737366,230,360m²,6+2,2,3,,İkiz Ev,Komple,21-25 arası,,İkinci El,,,Hayır,"Kızılca, Akşehir
, Konya",3.000.000 TL,,,,,,,,,
13 Eylül 2024,5084525,128,132m²,3+1,1,4,Kombi (Doğalgaz),En Üst Kat,4,31-35 arası,Kiracılı,İkinci El,8.000 TL (aylık),Danışman,Evet,"İstasyon, Akşehir
, Konya",1.590.000 TL,,,,,,,,,
13 Eylül 2024,5083320,150,180m²,3+1,2,10-20 arası,Merkezi Sistem (Isı Payı Ölçer),Tek Kat,Yüksek Giriş,4,Boş,,,,Hayır,"Yazır, Selçuklu
, Konya",5.300.000 TL,,,,Evet,,,,,
13 Eylül 2024,5132239,85,100m²,2+1,1,4,Kombi (Doğalgaz),Giriş Kat,Yüksek Giriş,6-10 arası,Kiracılı,İkinci El,,Danışman,Evet,"Yeni, Akşehir
, Konya",2.600.000 TL,,,,,,,,,
13 Eylül 2024,5083318,140,170m²,3+1,2,2,Kombi (Doğalgaz),Dubleks,2,6-10 arası,Mülk Sahibi,İkinci El,,,Hayır,"Buhara, Selçuklu
, Konya",2.900.000 TL,,,,,,,,,
12 Eylül 2024,5095768,105,115m²,2+1,1,4,Kombi (Doğalgaz),Ara Kat,3,40 ve üzeri,Kiracılı,İkinci El,7.000 TL (aylık),Danışman,Evet,"Yarenler, Akşehir
, Konya",1.900.000 TL,,,,,,,,,
13 Eylül 2024,5132162,120,170m²,3+1,1,3,Kombi (Doğalgaz),Tek Kat,Yüksek Giriş,,Boş,Sıfır,20.000 TL (aylık),,Evet,"Selahaddin Eyyubi, Selçuklu
, Konya",4.500.000 TL,,,,Evet,200 TL (aylık),,,,
13 Eylül 2024,5132662,120,130m²,2+1,1,6,Kombi (Doğalgaz),,5,,,,,,Evet,"Talatpaşa, Ereğli
, Konya",2.500.000 TL,,,,,,,,,
13 Eylül 2024,5068856,140,165m²,3+1,2,,,,,,,,,,Hayır,"Yarenler, Akşehir
, Konya",3.600.000 TL,,,,,,,,,
12 Eylül 2024,5067675,125,135m²,2+1,1,8,,,2,11-15 arası,Mülk Sahibi,İkinci El,0 TL (aylık),,Evet,"Kozağaç, Akşehir
, Konya",1.750.000 TL,,,Eşyasız,,0 TL (aylık),,,,
13 Eylül 2024,4485724,100,115m²,3+1,1,,,,,,,,,,Hayır,"İstasyon, Akşehir
, Konya",2.000.000 TL,,,,,,,,,
11 Eylül 2024,5130002,140,155m²,3+1,2,5,Kombi (Doğalgaz),Ara Kat,4,0,Boş,Sıfır,15.000 TL (aylık),Danışman,Evet,"Yarenler, Akşehir
, Konya",3.375.000 TL,,,,,,,,,
12 Eylül 2024,5095277,145,165m²,3+1,2,4,Kombi (Doğalgaz),En Üst Kat,4,0,Boş,Yapım Aşamasında,,Danışman,Evet,"Gazi, Akşehir
, Konya",3.250.000 TL,,,Eşyasız,,,,,,
11 Eylül 2024,4977039,120,165m²,3+1,1,6,Yerden Isıtma,En Üst Kat,6,6-10 arası,Kiracılı,,0 TL (aylık),,Evet,"Akabe, Karatay
, Konya",2.750.000 TL,,,Eşyasız,Evet,0 TL (aylık),,,,
13 Eylül 2024,4837739,430,460m²,,,,,,,,,,,,Hayır,"Yeni, Akşehir
, Konya",6.350.000 TL,,,,,,,,,
11 Eylül 2024,4758349,115,130m²,3+1,1,5,Kombi (Doğalgaz),En Üst Kat,5,26-30 arası,Boş,İkinci El,4.000 TL (aylık),Danışman,Evet,"Altunkalem, Akşehir
, Konya",1.620.000 TL,?,,,,,,,,
11 Eylül 2024,5129150,120,128m²,3+1,1,5,Kombi (Doğalgaz),Giriş Kat,1,26-30 arası,Boş,,10.000 TL (aylık),Danışman,Evet,"İstasyon, Akşehir
, Konya",1.635.000 TL,,,Eşyasız,,0 TL (aylık),,,,
11 Eylül 2024,5130129,125,135m²,3+1,1,5,Kombi (Doğalgaz),,5,21-25 arası,,,,,Evet,"Cami Kebir, Ereğli
, Konya",1.650.000 TL,,,,,,,,,
11 Eylül 2024,5130123,120,130m²,2+1,1,1,Soba (Kömür),,,16-20 arası,,,,,Evet,"Ziya Gökalp, Ereğli
, Konya",4.000.000 TL,,,,,,,,,
11 Eylül 2024,5083074,90,118m²,2+1,1,5,Kombi (Doğalgaz),,Yüksek Giriş,0,Boş,Yapım Aşamasında,10.000 TL (aylık),Danışman,Evet,"Yarenler, Akşehir
, Konya",2.470.000 TL,,,Eşyasız,Evet,0 TL (aylık),,,,
13 Eylül 2024,5131585,128,140m²,3+1,1,4,Kombi (Doğalgaz),En Üst Kat,4,26-30 arası,Boş,İkinci El,10.000 TL (aylık),Danışman,Evet,"Altunkalem, Akşehir
, Konya",1.880.000 TL,,,,,,,,,
11 Eylül 2024,5129250,83,111m²,2+1,1,4,Kombi (Doğalgaz),Tek Kat,2,,Boş,Sıfır,15.000 TL (aylık),,Evet,"Selahaddin Eyyubi, Selçuklu
, Konya",3.500.000 TL,,,,,200 TL (aylık),,,,
11 Eylül 2024,5129740,70,80m²,2+2,1,5,Kombi (Doğalgaz),,Yüksek Giriş,4,,,,,Evet,"Ziya Gökalp, Ereğli
, Konya",1.500.000 TL,,,,,,,,,
10 Eylül 2024,2568054,60,240m²,6+3,3,3,Soba (Kömür),İkiz Ev,Komple,36-40 arası,Boş,İkinci El,1.200 TL (aylık),Danışman,Hayır,"Eskikale, Akşehir
, Konya",2.190.000 TL,,,,,0 TL (aylık),,,,
10 Eylül 2024,5129044,170,185m²,4+1,2,5,,Ara Kat,3,3,Kiracılı,İkinci El,0 TL (aylık),Danışman,Evet,"İstasyon, Akşehir
, Konya",4.100.000 TL,,,Eşyasız,,0 TL (aylık),,,,
11 Eylül 2024,5068450,115,120m²,3+1,1,5,,Ara Kat,3,36-40 arası,Mülk Sahibi,İkinci El,,Danışman,Evet,"Yeni, Akşehir
, Konya",1.350.000 TL,,,,,,,,,
10 Eylül 2024,3213621,200,232m²,2+1,1,2,,Dubleks,Müstakil,40 ve üzeri,Mülk Sahibi,İkinci El,,Danışman,Hayır,"Eskikale, Akşehir
, Konya",990.000 TL,,,,Evet,,,,,
10 Eylül 2024,5037811,83,111m²,2+1,1,4,Kombi (Doğalgaz),,4,0,Boş,Sıfır,10.000 TL (aylık),,Evet,"Selahaddin Eyyubi, Selçuklu
, Konya",3.000.000 TL,,,Eşyasız,,200 TL (aylık),Kat Mülkiyeti,,,
9 Eylül 2024,5037477,155,185m²,4+1,2,4,Yerden Isıtma,Ara Kat,2,0,Boş,Sıfır,15.000 TL (aylık),Danışman,Evet,"Gazi, Akşehir
, Konya",3.250.000 TL,,,Eşyasız,Evet,125 TL (aylık),,,,
9 Eylül 2024,5106081,70,75m²,1+1,1,5,,Ara Kat,3,0,Boş,Yapım Aşamasında,0 TL (aylık),Danışman,Evet,"Seyran, Akşehir
, Konya",1.800.000 TL,,,Eşyasız,Evet,0 TL (aylık),,,,
9 Eylül 2024,5082134,170,180m²,4+1,2,5,,,1,0,,,,,Hayır,"Yarenler, Akşehir
, Konya",4.400.000 TL,,,,,,,,,
8 Eylül 2024,5066710,45,63m²,1+1,1,4,Kombi (Doğalgaz),Giriş Kat,Yüksek Giriş,0,Boş,Sıfır,10.000 TL (aylık),Danışman,Evet,"Gazi, Akşehir
, Konya",1.900.000 TL,,,,,,,,,
9 Eylül 2024,5067204,110,120m²,2+1,1,,,,,,,,,,Hayır,"Meydan, Akşehir
, Konya",1.565.000 TL,,,,,,,,,
9 Eylül 2024,5082296,148,155m²,3+1,2,5,Kalorifer (Doğalgaz),,2,0,Boş,Sıfır,20.000 TL (aylık),Danışman,Hayır,"Yarenler, Akşehir
, Konya",4.500.000 TL,,,,,,,,,
9 Eylül 2024,5082290,162,185m²,4+1,2,5,Kalorifer (Doğalgaz),,,0,Boş,,20.000 TL (aylık),Danışman,Hayır,"Yarenler, Akşehir
, Konya",4.500.000 TL,,,,,,,,,
8 Eylül 2024,4561939,165,168m²,3+1,1,4,Yerden Isıtma,,,0,Boş,Sıfır,3.500 TL (aylık),,Evet,"Gazi, Akşehir
, Konya",3.500.000 TL,,,Eşyasız,,0 TL (aylık),,,,
9 Eylül 2024,5082298,130,140m²,3+1,1,5,Kalorifer (Doğalgaz),,3,0,Boş,,20.000 TL (aylık),Danışman,Hayır,"Yarenler, Akşehir
, Konya",3.250.000 TL,,,,,,,,,
8 Eylül 2024,4840849,110,860m²,3+1,2,,,,,,,,,,Hayır,"Doğrugöz, Akşehir
, Konya",3.200.000 TL,,,,,,,,,
8 Eylül 2024,5106279,165,170m²,4+1,2,,,,,,,,,,Hayır,"Gazi, Akşehir
, Konya",3.100.000 TL,,,,,,,,,
8 Eylül 2024,5081294,145,155m²,3+1,2,4,Kombi (Doğalgaz),En Üst Kat,4,31-35 arası,Kiracılı,İkinci El,,Danışman,Evet,"İstasyon, Akşehir
, Konya",1.700.000 TL,,,,,,,,,
9 Eylül 2024,5128769,125,135m²,3+1,1,5,Kombi (Doğalgaz),Ara Kat,4,16-20 arası,Kiracılı,İkinci El,,Danışman,Evet,"Yeni, Akşehir
, Konya",2.190.000 TL,,,,,,,,,
8 Eylül 2024,5106445,215,220m²,,,2,,,,26-30 arası,Kiracılı,İkinci El,,Danışman,Hayır,"Kileci, Akşehir
, Konya",5.500.000 TL,,,,,,,,,Betonarme
6 Eylül 2024,4903211,45,1450m²,1+1,1,1,,,Müstakil,2,Mülk Sahibi,İkinci El,8.000 TL (aylık),Danışman,Hayır,"Adsız, Akşehir
, Konya",2.100.000 TL,,,,,0 TL (aylık),,,,
6 Eylül 2024,5015823,118,125m²,3+1,1,3,Yok,,Komple,26-30 arası,Boş,İkinci El,0 TL (aylık),Danışman,Hayır,"Yeni, Akşehir
, Konya",3.890.000 TL,,Evet,Eşyasız,Evet,0 TL (aylık),,,,
7 Eylül 2024,5066303,150,318m²,3+1,1,,,,,,,,,,Hayır,"Çimenli, Akşehir
, Konya",2.350.000 TL,,,,,,,,,
6 Eylül 2024,5033858,180,225m²,4+1,2,2,,,Bahçe katı,0,Boş,,0 TL (aylık),,Evet,"Sille Ak, Selçuklu
, Konya",12.000.000 TL,,,Eşyasız,Evet,0 TL (aylık),Kat Mülkiyeti,,,
6 Eylül 2024,5033848,148,195m²,4+1,2,4,Yerden Isıtma,,4,0,Boş,,0 TL (aylık),,Evet,"Selahaddin Eyyubi, Selçuklu
, Konya",5.299.000 TL,,,Eşyasız,Evet,0 TL (aylık),Kat Mülkiyeti,,,
6 Eylül 2024,5033840,91,130m²,2+1,1,4,Yerden Isıtma,,2,2,Boş,,0 TL (aylık),,Evet,"Hüsamettin Çelebi, Selçuklu
, Konya",2.750.000 TL,,,Eşyasız,,0 TL (aylık),Kat Mülkiyeti,,,
6 Eylül 2024,5033211,100,115m²,2+1,1,4,Kombi (Doğalgaz),Giriş Kat,Giriş Katı,26-30 arası,Mülk Sahibi,İkinci El,7.000 TL (aylık),Danışman,Evet,"Yarenler, Akşehir
, Konya",1.620.000 TL,,,,,,,,,
7 Eylül 2024,5062664,140,157m²,3+1,2,2,Yerden Isıtma,,,0,Boş,Sıfır,,Danışman,Evet,"Yeni, Akşehir
, Konya",3.300.000 TL,,,Eşyalı (Mobilyalı),,,Kat Mülkiyeti,,,
6 Eylül 2024,5128082,63,75m²,1+1,1,5,Klima,Ara Kat,1,0,Boş,Sıfır,,Danışman,Evet,"Toros, Ereğli
, Konya",1.650.000 TL,?,,Eşyasız,,500 TL (aylık),Kat İrtifakı,,,
5 Eylül 2024,5127663,135,160m²,3+1,1,3,Kombi (Doğalgaz),En Üst Kat,3,5,Mülk Sahibi,İkinci El,15.000 TL (aylık),Danışman,Evet,"Yarenler, Akşehir
, Konya",3.400.000 TL,?,,,,,,,,
6 Eylül 2024,5033853,190,280m²,5+1,3,2,Kombi (Doğalgaz),,2,5,,,0 TL (aylık),,Evet,"Mehmet Akif, Selçuklu
, Konya",7.500.000 TL,,,Eşyasız,Evet,0 TL (aylık),Kat Mülkiyeti,,,
5 Eylül 2024,5127126,110,120m²,3+1,1,4,Kombi (Doğalgaz),En Üst Kat,4,31-35 arası,Kiracılı,İkinci El,,Danışman,Evet,"Yarenler, Akşehir
, Konya",1.700.000 TL,,,,,50 TL (aylık),,,,
5 Eylül 2024,5090580,67,68m²,,,2,Soba (Kömür),,,26-30 arası,Boş,İkinci El,,,Evet,"Çınaroba, Doğanhisar
, Konya",300.000 TL,,,,Evet,,Kat Mülkiyeti,,,Taş Bina
5 Eylül 2024,5105222,155,160m²,3+1,2,,,,,,,,,,Hayır,"Yarenler, Akşehir
, Konya",3.575.000 TL,,,,,,,,,
5 Eylül 2024,5105132,155,160m²,3+1,2,,,,,,,,,,Hayır,"Yarenler, Akşehir
, Konya",3.275.000 TL,,,,,,,,,
5 Eylül 2024,5065423,110,120m²,3+1,1,5,Soba (Doğalgaz),Ara Kat,,31-35 arası,,,,Danışman,Evet,"Yıldırım, Akşehir
, Konya",1.900.000 TL,,,,,,İskanı Alınmış,,,
5 Eylül 2024,4815607,350,400m²,7+1,2,3,,,,,Boş,,,,Evet,"Yeni, Akşehir
, Konya",13.500.000 TL,,,Eşyalı (Mobilyalı),,,Müstakil Parsel,,,
5 Eylül 2024,5014102,340,353m²,3+1,1,,,,,,,,,,Hayır,"Adsız, Akşehir
, Konya",3.100.000 TL,,,,,,,,,
5 Eylül 2024,5092684,120,130m²,3+1,1,4,Kombi (Doğalgaz),Ara Kat,2,31-35 arası,Kiracılı,İkinci El,7.500 TL (aylık),Danışman,Evet,"Yeni, Akşehir
, Konya",1.780.000 TL,,,,,,,,,
4 Eylül 2024,5126109,149,200m²,4+1,2,7,Kombi (Doğalgaz),,7,11-15 arası,Boş,,,,Evet,"Parsana, Selçuklu
, Konya",4.750.000 TL,,,,,,,,,
4 Eylül 2024,5104471,155,160m²,3+1,1,,,,,,,,,,Hayır,"Yarenler, Akşehir
, Konya",2.590.000 TL,,,,,,,,,
5 Eylül 2024,3951545,270,280m²,2+1,1,,,,,,,,,,Hayır,"Hamidiye, Beyşehir
, Konya",3.150.000 TL,,,,,,,,,
3 Eylül 2024,5103588,110,120m²,3+1,2,2,Kombi (Doğalgaz),Dubleks,Müstakil,31-35 arası,Mülk Sahibi,İkinci El,10.000 TL (aylık),Danışman,Hayır,"Selçuk, Akşehir
, Konya",2.350.000 TL,,,Eşyalı (Mobilyalı),,0 TL (aylık),,,,
3 Eylül 2024,5090547,93,94m²,2+1,1,2,Kombi (Doğalgaz),,,6-10 arası,Boş,İkinci El,15.000 TL (aylık),,Evet,"Göçü, Karatay
, Konya",380.000 TL,,,Eşyasız,Evet,1 TL (aylık),Kat Mülkiyeti,,,
3 Eylül 2024,5090556,674,675m²,3+1,1,1,Soba (Kömür),,,11-15 arası,Boş,İkinci El,20.000 TL (aylık),,Evet,"Uzunkuyu, Çumra
, Konya",750.000 TL,,,Eşyasız,Evet,1 TL (aylık),Kat İrtifakı,,,
3 Eylül 2024,5030918,125,130m²,3+1,1,4,Kombi (Doğalgaz),Ara Kat,3,26-30 arası,Kiracılı,İkinci El,,Danışman,Evet,"Yarenler, Akşehir
, Konya",1.750.000 TL,,,,,,,,,
3 Eylül 2024,5125873,83,111m²,2+1,1,4,Yerden Isıtma,Tek Kat,4,,Boş,Sıfır,15.000 TL (aylık),,Evet,"Selahaddin Eyyubi, Selçuklu
, Konya",3.250.000 TL,,,,,200 TL (aylık),,,,
4 Eylül 2024,4942492,110,145m²,3+1,1,,,,,,,,,,Hayır,"Kozağaç, Akşehir
, Konya",2.275.000 TL,,,,,,,,,
3 Eylül 2024,4995850,105,120m²,2+1,1,5,Yerden Isıtma,Ara Kat,2,0,Boş,Yapım Aşamasında,0 TL (aylık),Danışman,Hayır,"Yeni, Akşehir
, Konya",2.800.000 TL,,,Eşyasız,,0 TL (aylık),,,,
3 Eylül 2024,5013267,75,100m²,2+1,1,5,Kombi (Doğalgaz),Ara Kat,3,0,Boş,Yapım Aşamasında,8.000 TL (aylık),Danışman,Evet,"Yarenler, Akşehir
, Konya",2.600.000 TL,,,,,,,,,
3 Eylül 2024,5050746,150,175m²,3+1,2,5,Merkezi Sistem,,5,26-30 arası,Mülk Sahibi,,0 TL (aylık),,Evet,"Musalla Bağları, Selçuklu
, Konya",3.250.000 TL,,,Eşyasız,Evet,450 TL (aylık),,,,
3 Eylül 2024,5030938,150,160m²,3+1,2,,,,,,,,,,Hayır,"Yeni, Akşehir
, Konya",3.300.000 TL,,,,,,,,,
3 Eylül 2024,5104260,130,140m²,3+1,1,,,,,,,,,,Hayır,"Kozağaç, Akşehir
, Konya",1.700.000 TL,,,,,,,,,
3 Eylül 2024,4995817,100,120m²,2+1,1,,,,,,,,,,Hayır,"Gazi, Akşehir
, Konya",2.500.000 TL,,,,,,,,,
3 Eylül 2024,5125294,100,120m²,2+1,1,3,Kombi (Doğalgaz),Ara Kat,Yüksek Giriş,16-20 arası,Boş,İkinci El,8.000 TL (aylık),,Evet,"Kileci, Akşehir
, Konya",1.625.000 TL,,,Eşyasız,Evet,,,,,
3 Eylül 2024,5091152,300,350m²,7+3,3,2,Kat Kaloriferi,Giriş Kat,,11-15 arası,Mülk Sahibi,,,,Hayır,"Başak, Karatay
, Konya",5.000.000 TL,,,,Evet,,,,,
